,budget,genre,id,imdb_id,overview,original_title,popularity,revenue,release_date,title,year,is_winner
235,7500000,Drama,403,tt0097239,The story of an old Jewish widow named Daisy Werthan and her relationship with her colored chauffeur Hoke. From an initial mere work relationship grew in 25 years a strong friendship between the two very different characters in a time when those types of relationships where shunned upon. Oscar winning tragic comedy with a star-studded cast and based on a play of the same name by Alfred Uhry.,Driving Miss Daisy,10.703677,145793296,12/13/1989,Driving Miss Daisy,1989,TRUE
503,25000000,Drama,380,tt0095953,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,Rain Man,11.267467,412800000,12/11/1988,Rain Man,1988,TRUE
648,23000000,Drama,746,tt0093389,"A dramatic history of Pu Yi, the last of the Emperors of China, from his lofty birth and brief reign in the Forbidden City, the object of worship by half a billion people; through his abdication, his decline and dissolute lifestyle; his exploitation by the invading Japanese, and finally to his obscure existence as just another peasant worker in the People's Republic.",The Last Emperor,11.076971,43984230,10/21/1987,The Last Emperor,1987,TRUE
649,23000000,History,746,tt0093389,"A dramatic history of Pu Yi, the last of the Emperors of China, from his lofty birth and brief reign in the Forbidden City, the object of worship by half a billion people; through his abdication, his decline and dissolute lifestyle; his exploitation by the invading Japanese, and finally to his obscure existence as just another peasant worker in the People's Republic.",The Last Emperor,11.076971,43984230,10/21/1987,The Last Emperor,1987,TRUE
487,6000000,Drama,792,tt0091763,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",Platoon,18.206972,138530565,12/18/1986,Platoon,1986,TRUE
488,6000000,War,792,tt0091763,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",Platoon,18.206972,138530565,12/18/1986,Platoon,1986,TRUE
489,6000000,Action,792,tt0091763,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",Platoon,18.206972,138530565,12/18/1986,Platoon,1986,TRUE
480,31000000,Drama,606,tt0089755,"Out of Africa tells the story of the life of Danish author Karen Blixen, who at the beginning of the 20th century moved to Africa to build a new life for herself. The film is based on the autobiographical novel by Karen Blixen from 1937.",Out of Africa,14.004074,128499205,12/20/1985,Out of Africa,1985,TRUE
41,18000000,Drama,279,tt0086879,"The incredible story of genius musician Wolfgang Amadeus Mozart, told in flashback by his peer and secret rival Antonio Salieri ?€? now confined to an insane asylum.",Amadeus,12.677592,51973029,10/26/1984,Amadeus,1984,TRUE
42,18000000,History,279,tt0086879,"The incredible story of genius musician Wolfgang Amadeus Mozart, told in flashback by his peer and secret rival Antonio Salieri ?€? now confined to an insane asylum.",Amadeus,12.677592,51973029,10/26/1984,Amadeus,1984,TRUE
43,18000000,Music,279,tt0086879,"The incredible story of genius musician Wolfgang Amadeus Mozart, told in flashback by his peer and secret rival Antonio Salieri ?€? now confined to an insane asylum.",Amadeus,12.677592,51973029,10/26/1984,Amadeus,1984,TRUE
557,8000000,Drama,11050,tt0086425,"Aurora and Emma are mother and daughter who march to different drummers. Beginning with Emma's marriage, Aurora shows how difficult and loving she can be. The movie covers several years of their lives as each finds different reasons to go on living and find joy. Aurora's interludes with Garrett Breedlove, retired astronaut and next door neighbor are quite striking.",Terms of Endearment,8.785209,0,11/20/1983,Terms of Endearment,1983,TRUE
