,birthplace,date_of_birth,race_ethnicity,religion,religion:confidence,sexual_orientation,year_of_award,award,biourl,movie,person,movieID,movie_IMDB_Link
44,"Cape Elizabeth, Me",1-Feb-1894,White,Roman Catholic,1.0,Bisexual,1953,Best Director,http://www.nndb.com/people/458/000032362/,The Quiet Man,John Ford,tt0045061,https://www.imdb.com/title/tt0045061/
45,"Vienna, Austria",29-Apr-07,White,Jewish,1.0,Straight,1954,Best Director,http://www.nndb.com/people/538/000032442/,From Here to Eternity,Fred Zinnemann,tt0045793,https://www.imdb.com/title/tt0045793/
46,"Hoboken, Nj",12-Dec-15,White,Na,1.0,Straight,1954,Best Supporting Actor,http://www.nndb.com/people/300/000026222/,From Here to Eternity,Frank Sinatra,tt0045793,https://www.imdb.com/title/tt0045793/
47,"Denison, Ia",27-Jan-21,White,Na,1.0,Straight,1954,Best Supporting Actress,http://www.nndb.com/people/702/000031609/,From Here to Eternity,Donna Reed,tt0045793,https://www.imdb.com/title/tt0045793/
48,"Istanbul, Turkey",7-Sep-09,White,Na,1.0,Straight,1955,Best Director,http://www.nndb.com/people/537/000026459/,On the Waterfront,Elia Kazan,tt0047296,https://www.imdb.com/title/tt0047296/
49,"Omaha, Ne",3-Apr-24,White,Deist,1.0,Bisexual,1955,Best Actor,http://www.nndb.com/people/721/000022655/,On the Waterfront,Marlon Brando,tt0047296,https://www.imdb.com/title/tt0047296/
50,"Newark, Nj",4-Jul-24,White,Na,1.0,Straight,1955,Best Supporting Actress,http://www.nndb.com/people/980/000022914/,On the Waterfront,Eva Marie Saint,tt0047296,https://www.imdb.com/title/tt0047296/
51,"Lawrence, Ks",30-Jan-20,White,Presbyterian,1.0,Straight,1956,Best Director,http://www.nndb.com/people/384/000044252/,Marty,Delbert Mann,tt0048356,https://www.imdb.com/title/tt0048356/
52,"Hamden, Ct",24-Jan-17,White,Na,1.0,Straight,1956,Best Actor,http://www.nndb.com/people/730/000022664/,Marty,Ernest Borgnine,tt0048356,https://www.imdb.com/title/tt0048356/
53,"Oakland, Ca",18-Dec-04,White,Na,1.0,Straight,1957,Best Director,http://www.nndb.com/people/382/000044250/,Giant,George Stevens,tt0049261,https://www.imdb.com/title/tt0049261/
54,"Croydon, Surrey, England",25-Mar-08,White,Na,1.0,Straight,1958,Best Director,http://www.nndb.com/people/462/000032366/,The Bridge on the River Kwai,David Lean,tt0050212,https://www.imdb.com/title/tt0050212/
55,"London, England",2-Apr-14,White,Roman Catholic,1.0,Bisexual,1958,Best Actor,http://www.nndb.com/people/751/000023682/,The Bridge on the River Kwai,Alec Guinness,tt0050212,https://www.imdb.com/title/tt0050212/
56,"Chicago, Il",28-Feb-1903,White,Na,1.0,Bisexual,1959,Best Director,http://www.nndb.com/people/825/000032729/,Gigi,Vincente Minnelli,tt0051658,https://www.imdb.com/title/tt0051658/
57,"Mulhouse, Haut-Rhin, Alsace, France",1-Jul-1902,White,Na,1.0,Straight,1960,Best Director,http://www.nndb.com/people/463/000032367/,Ben-Hur,William Wyler,tt0052618,https://www.imdb.com/title/tt0052618/
